eligibility_datetime_utc,item_id,eligibility,message
2025-06-04 08:50:07,29,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations.
2025-06-04 08:50:07,270,TRUE,
2025-06-04 08:50:07,31,TRUE,
2025-06-04 08:50:07,26,TRUE,
2025-06-04 08:50:07,25,TRUE,
2025-06-04 08:50:07,34,TRUE,
2025-06-04 08:50:07,28,TRUE,
2025-06-04 08:50:07,32,TRUE,
2025-06-04 08:50:07,33,FALSE,This product's cost to Amazon does not allow us to meet customers’ pricing expectations.
2025-06-04 08:50:07,27,TRUE,
